,Compound,Date,Negative,Neutral,Positive,Tweet,User
30,0.0,Mon Jan 15 02:30:04 +0000 2018,0.0,1.0,0.0,Lawmakers bemoan backlash over President Trump's comments amid bipartisan push for DACA deal https://t.co/D7aieSPe9j https://t.co/GhpLsBugxt,CNN
31,-0.6908,Mon Jan 15 02:30:04 +0000 2018,0.231,0.769,0.0,This is how the missile detection and emergency messaging systems are supposed to work — and what went wrong in Haw… https://t.co/7iVBPidjFw,CNN
32,0.0,Mon Jan 15 02:25:51 +0000 2018,0.0,1.0,0.0,"'This place is a shithole' projected onto Trump hotel, with emojis https://t.co/DWVdDmSPUk",CNN
33,0.1779,Mon Jan 15 02:08:25 +0000 2018,0.0,0.909,0.091,"A growing movement is targeting single-use plastic straws, which are not recyclable and often end up littering the… https://t.co/IdAcBXI7vh",CNN
34,0.0,Mon Jan 15 02:00:20 +0000 2018,0.0,1.0,0.0,"Donald Trump owes each and every American money, writes Dean Obeidallah for @CNNOpinion https://t.co/m6JA2YQRuw https://t.co/HIKd2YKp2g",CNN
35,0.0772,Mon Jan 15 01:54:22 +0000 2018,0.0,0.925,0.075,Palestinian Authority President Mahmoud Abbas appears to have confirmed reports that the Trump administration has e… https://t.co/IarWjcTR36,CNN
36,0.296,Mon Jan 15 01:39:04 +0000 2018,0.0,0.891,0.109,"""They made a mistake."" Donald Trump makes first comments about the false ballistic missile alert sent out by Hawaii… https://t.co/h2DXwJFtX2",CNN
37,-0.6705,Mon Jan 15 01:30:08 +0000 2018,0.243,0.757,0.0,Nearly 180 people have been killed in Syria's Eastern Ghouta in two weeks https://t.co/h12qDm3sdI https://t.co/H47o7fn2u4,CNN
38,0.4215,Mon Jan 15 01:15:01 +0000 2018,0.0,0.882,0.118,"A member of Qatar's royal family has said he is being held against his will in the United Arab Emirates, a claim di… https://t.co/oZpLazCALD",CNN
39,0.0,Mon Jan 15 01:06:43 +0000 2018,0.0,1.0,0.0,US President Donald Trump defended himself on Sunday night after several days of controversy over his remarks about… https://t.co/fDuwcKRkc9,CNN
40,0.0,Mon Jan 15 04:03:04 +0000 2018,0.0,1.0,0.0,Reflections from Afghanistan https://t.co/awlHj6pXwm https://t.co/jr3QQ8iq53,CBSNews
41,0.0,Mon Jan 15 03:48:06 +0000 2018,0.0,1.0,0.0,Drawing the lines on gerrymandering https://t.co/aFi2sNK8Cc https://t.co/b1FU08Yshc,CBSNews
