CityID,Latitude,Longtitude,Nearest City,Max_Temp,Humidity,Cloudiness,Wind Speed
124,-86.67744082,124.0040148,new norfolk,26,41,0,6.7
125,-38.92564647,2.181650249,saldanha,4.15,100,36,2.22
126,-15.25390915,-40.86460746,itambe,20.35,99,100,2.07
127,61.95325833,-42.88057169,nanortalik,-0.05,90,24,12.12
128,-47.00395382,-39.86686951,chuy,17.8,96,0,4.27
129,-34.81377842,22.01745661,george,29,83,20,2.1
130,50.58359793,-140.0644769,sitka,5.5,56,0,3.97
131,-50.22882108,147.4793434,hobart,26,41,0,6.7
132,45.12600948,57.88200148,beyneu,9,73,44,2.07
133,9.480454675,-87.88172828,santa cruz,8,87,40,2.6
134,47.6349713,177.2780965,nikolskoye,-7,67,40,4
135,-75.82980737,11.27317011,hermanus,20.75,53,24,3.67
136,-87.55652121,-154.0074319,mataura,7.65,79,8,2.12
137,-9.124882979,-3.862792412,jamestown,27.9,23,0,3.82
138,-54.86164723,51.42702643,tsihombe,,,,
139,35.65823562,175.3891417,nikolskoye,-7,67,40,4
140,60.35817335,-131.7693604,whitehorse,-3,79,5,1.5
141,65.33987341,165.8653986,bilibino,-33.05,41,20,1.07
142,27.25610687,54.01679016,gerash,26,24,90,5.1
143,-53.55208099,23.19465823,bredasdorp,23,56,0,10.3
144,-48.86161527,32.05195378,port alfred,20.65,87,48,6.42
145,-39.50526943,41.60934525,margate,26,41,0,6.7
146,-74.8084257,38.93656428,port alfred,20.65,87,48,6.42
147,31.38713383,-124.1677678,lompoc,8,93,75,3.27
148,-60.99238701,77.48164655,souillac,7,87,0,1.5
149,-60.34337972,-20.35323864,cidreira,18.65,97,56,3.57
150,87.07305268,169.5164132,pevek,-35.5,55,0,0.87
151,-64.86427197,-38.68187766,ushuaia,2,100,75,2.6
152,26.34956537,120.5342999,jiaocheng,23.85,59,44,1.57
153,53.58879679,139.4471103,mnogovershinnyy,-12.75,49,0,1.92
154,-19.14077352,152.6566934,mackay,-3,100,1,1
155,-44.21644805,44.20564232,tsihombe,,,,
156,1.473036723,141.1559968,vanimo,28.3,100,0,7.17
157,-66.81517833,62.65329492,taolanaro,,,,
158,80.66995755,-25.01036462,illoqqortoormiut,,,,
159,29.57880154,111.2875354,changde,9.1,100,88,2.42
160,22.99857255,-32.82928011,ponta do sol,18.75,97,36,1.22
161,-4.854180285,-97.05032236,puerto ayora,25.15,100,32,1.17
162,-58.93123646,127.3969754,mount gambier,28.15,27,92,6.12
163,29.43666256,-19.50255866,los llanos de aridane,17,55,20,2.6
164,-1.212569015,99.96793242,padang,29,100,12,2.07
165,74.38873123,9.398078225,barentsburg,,,,
166,-81.80251569,-135.5927632,rikitea,27.6,96,64,6.77
167,10.09062669,-40.91947564,carutapera,26.25,89,64,3.32
168,-24.06726959,177.3318574,isangel,27.95,99,0,7.62
169,-76.68052663,-10.81101597,cape town,24,38,0,2.6
170,-16.62620795,115.4636903,karratha,39,20,0,4.82
171,3.293835944,17.32866525,mbaiki,26.6,87,64,1.52
172,6.801709856,-40.78753952,cururupu,25.25,89,24,2.47
173,-80.92593694,58.94964661,east london,21,68,20,3.1
174,12.07865531,178.0209415,butaritari,28.6,99,24,2.52
175,-51.29945216,-109.0711136,castro,7.65,100,44,1.47
176,30.50244399,-73.71076693,marsh harbour,18.85,100,0,2.02
177,61.78920909,-28.83401049,olafsvik,,,,
178,-60.41556996,-99.57264813,punta arenas,6,70,75,6.7
179,37.0795678,121.3711163,ninghai,13,66,75,6
180,32.90181724,-168.4016944,kapaa,23,94,90,1.87
181,61.88598072,-139.0409855,haines junction,-13.25,72,0,0.92
182,15.71996192,-107.9543261,san patricio,26.15,83,32,2.02
183,8.940159403,179.3425156,butaritari,28.6,99,24,2.52
184,-83.35460682,30.7439232,port elizabeth,-1,58,1,2.6
185,-56.52953829,-43.23622178,mar del plata,7.75,92,0,3.62
186,-37.15225096,55.33513331,taolanaro,,,,
187,-66.34782851,-125.6910936,rikitea,27.6,96,64,6.77
188,56.50847566,69.23475623,uspenka,3.5,100,92,6.87
189,79.12013623,-70.7925405,qaanaaq,-30.35,65,0,3.37
190,13.94433023,73.10803327,karwar,30.85,56,32,0.87
191,-77.35699121,-104.160372,punta arenas,6,70,75,6.7
192,-12.54114691,-69.72272901,puerto maldonado,22.3,100,92,0.17
193,-71.4716794,-137.1563363,rikitea,27.6,96,64,6.77
194,-84.15542944,-125.4973373,rikitea,27.6,96,64,6.77
195,52.70928475,127.0847339,sivaki,-1.3,43,56,2.82
196,84.38132204,8.586879728,barentsburg,,,,
197,23.53787472,-177.5266478,kapaa,23,94,90,1.87
198,6.72189186,128.4217679,san isidro,27.35,74,48,2.62
199,-55.43212871,158.9903654,tuatapere,12.25,100,24,3.07
200,-16.58972486,-94.44339228,puerto ayora,25.15,100,32,1.17
201,-1.536755084,159.3003053,kieta,23.15,100,92,2.22
202,-10.56472634,-85.75628779,pimentel,24.1,96,88,1.22
203,-45.07039949,-121.556034,rikitea,27.6,96,64,6.77
204,-55.35320339,-65.18207212,ushuaia,2,100,75,2.6
205,-68.97182591,127.0995807,new norfolk,26,41,0,6.7
206,80.78542941,7.838277706,barentsburg,,,,
207,15.91929011,75.75440626,badami,30.95,50,36,2.72
208,33.99862286,62.08370672,herat,24,22,20,4.1
209,-65.45795389,-98.04017107,punta arenas,6,70,75,6.7
210,42.56293985,150.2336577,sentyabrskiy,,,,
211,-45.56520429,-58.89347901,viedma,14.45,95,0,3.42
212,-65.55754045,-174.7589277,vaini,28.3,77,80,1.67
213,13.10439006,-77.20557582,puerto colombia,27,83,20,4.1
